f0_,c
(require 'semantic/db-ebrowse),60
(require 'python-environment),60
(require 'multi-term),60
(require 'jump),60
(require 'jn-tree-node),60
(require 'jira),60
(require 'ein-events),60
(require 'ede/locate),60
(require 'ecb-winman-support),60
(require 'ecb-upgrade),60
(require 'ecb-tod),60
(require 'ecb-symboldef),60
(require 'ecb-jde),60
(require 'ecb-help),60
(require 'ecb-eshell),60
(require 'ecb-cycle),60
(require 'ecb-compatibility),60
(require 'ecb-autogen),60
(require 'ecb-analyse),60
(require 'undercover),59
(require 'sunrise-commander),59
(require 'jde-util),59
(require 'htmlize),59
(require 'gh-pulls),59
(require 'evil-matchit),59
(require 'elmo),59
(require 'circe),59
(require 'proof-easy-config),58
(require 'org-trello-setup),58
(require 'newsticker),58
(require 'helm-match-plugin),58
(require 'ecb),58
(require 'cogre-srecode),58
(require 'ude-custom),57
(require 'srecode-args),57
(require 'reftex-cite),57
(require 'pcache),57
(require 'mmm-mode),57
(require 'luna),57
(require 'ht),57
(require 'gh-gist),57
(require 'sws-mode),56
(require 'std11),56
(require 'static),56
(require 'sh-script),56
(require 'package-x),56
(require 'generic-x),56
(require 'f90),56
(require 'ert nil t),56
(require 'elnode),56
(require 'ein-cell),56
(require 'browse-kill-ring),56
(require 'volatile-highlights),55
(require 'url-future),55
(require 'scala-mode-indent),55
(require 'rmailmm),55
(require 'noflet),55
(require 'mule-sysdp),55
(require 'map),55
(require 'icicles-opt)                  ; (This is required anyway by `icicles-var.el'.),55
(require 'git-rebase-mode),55
(require 'evil-leader),55
(require 'erl),55
(require 'ein-notebooklist),55
(require 'dvc-core),55
(require 'ctable),55
(require 'cedet-m3),55
(require 'pg-vars),54
(require 'pdf-misc),54
(require 'neotree-test),54
(require 'muse-html),54
(require 'mule-util),54
(require 'info-xref),54
(require 'go-autocomplete),54
(require 'elec-pair),54
(require 'cmuscheme),54
(require 'cider-resolve),54
(require 'cider-overlays),54
(require 'wesnoth-wml-data),53
(require 'wesnoth-update),53
(require 'mwheel),53
(require 'ert2),53
(require 'desktop),53
(require 'test-helper),52
(require 'pos-tip),52
(require 'linemark),52
(require 'ido-vertical-mode),52
(require 'guix-read),52
(require 'gh-users),52
(require 'fuel-debug),52
(require 'fuel-connection),52
(require 'ensime-util),52
(require 'emr),52
(require 'elfeed-db),52
(require 'dom),52
(require 'cc-defs),52
(require 'semantic-tag-ls),51
(require 'lean-settings),51
(require 'lean-option),51
(require 'lean-cmd),51
(require 'sx),50
(require 'scala-mode-fontlock),50
(require 'regexp-opt)),50
(require 'mmm-univ),50
(require 'ledger-state),50
(require 'ledger-context),50
(require 'init-yasnippet),50
(require 'init-helm),50
(require 'guix-entry),50
(require 'geiser-mode),50
(require 'es-lib-core-macros),50
(require 'emms-source-file),50
(require 'eclim),50
(require 'alist),50
(require 'srecode-ctxt),49
(require 'semantic-analyze-refs),49
(require 'prelude-emacs-lisp),49
(require 'mime-def),49
(require 'haskell-indent),49
(require 'guix-help-vars),49
(require 'erlang-start),49
(require 'edts),49
(require 'bridge),49
(require 'avy),49
(require 'w3m-hist),48
(require 'un-define),48
(require 'shm-ast),48
(require 'rfc2104),48
(require 'rdebug-layouts),48
(require 'rdebug-error),48
(require 'rdebug-cmd),48
(require 'rdebug-breaks),48
(require 'prop-menu),48
(require 'nxhtml-base),48
(require 'nsm),48
(require 'nadvice nil 'noerror),48
(require 'mma nil 'noerror),48
"(require 'hyperspec ""lib/hyperspec"")",48
(require 'ensime-completion-util),48
(require 'anzu),48
(require 'tooltip),47
(require 'slime-cl-indent),47
(require 'rdebug-core),47
(require 'gnus-cloud),47
(require 'emms-playing-time),47
(require 'ede-auto),47
(require 'cl-lib nil t),47
"(require 'cl-lib ""lib/cl-lib"")",47
(require 'chess-game),47
(require 'cedet-android),47
(require 'caml),47
(require 'calc-units),47
(require 'anything-match-plugin),47
(require 'w3m-rss),46
(require 'smooth-scrolling),46
(require 'prelude-xml),46
(require 'midnight),46
(require 'mc-hide-unmatched-lines-mode),46
(require 'ghc-check),46
(require 'cider-debug),46
(require 'buttercup),46
(require 'prelude-js),45
(require 'prelude-c),45
(require 'pallet),45
(require 'org-datetree),45
(require 'json-reformat),45
(require 'jabber-history),45
(require 'init-company),45
(require 'iedit-lib),45
(require 'ein-subpackages),45
(require 'ede/detect),45
(require 'ede/config),45
(require 'coq-font-lock),45
(require 'concurrent),45
(require 'cask),45
(require 'bbdb-mua),45
(require 'scala-mode-variables),44
(require 'scala-mode-ui),44
(require 'scala-mode-feature),44
(require 'proof-autoloads),44
(require 'org-beamer),44
(require 'objc-c-mode),44
(require 'irony-cdb-json),44
(require 'idris-warnings),44
(require 'guix-config),44
(require 'ein),44
(require 'egg),44
(require 'dvc-defs),44
(require 'tildify),43
(require 'py-bug-numbered-tests),43
(require 'proof-utils),43
(require 'mouseme),43
(require 'init-projectile),43
(require 'exec-path-from-shell),43
(require 'ensime-sbt),43
(require 'ensime-refactor),43
(require 'ensime-inf),43
(require 'ensime-debug),43
(require 'ensime-config),43
(require 'descr-text),43
(require 'view nil t),42
(require 'term/common-win),42
(require 'tablist),42
(require 'sclang-vars),42
(require 'sclang-mode),42
(require 'sclang-minor-mode),42
(require 'sclang-dev),42
(require 'sclang-browser),42
(require 'org-trello-hash),42
(require 'org-mks),42
(require 'magit-bisect),42
(require 'magit-autorevert),42
(require 'helm-swoop),42
(require 'ensime-vars),42
(require 'cider-inspector),42
(require 'chess-message),42
(require 'utils),41
(require 'sasl-scram-rfc),41
(require 're-builder),41
(require 'pyvenv),41
(require 'project),41
(require 'prelude-shell),41
(require 'prelude-company),41
(require 'mcharset),41
(require 'iedit),41
(require 'html-mode-expansions),41
(require 'highlight),41
(require 'haskell-hoogle),41
(require 'generator),41
(require 'geiser-image),41
(require 'eucjp-ms),41
(require 'ensime-model),41
(require 'cp51932),41
(require 'cider-browse-ns),41
(require 'wid-browse),40
(require 'semantic-ia),40
(require 'scala-mode-syntax),40
(require 'jde-db),40
(require 'jabber-festival),40
(require 'guix-ui),40
(require 'fuel-debug-uses),40
(require 'fold-dwim nil t),40
(require 'fame),40
(require 'egg-edep),40
(require 'eclim-java),40
"(require 'config-system (locate-user-emacs-file ""lib/config-system""))",40
(require 'wisent-csharp-wy),39
(require 'simple),39
(require 'rinari),39
(require 'prelude-scheme),39
(require 'muse-latex),39
(require 'jabber-chatbuffer),39
(require 'ggtags),39
(require 'fuel-markup),39
(require 'findr),39
(require 'ess-toolbar),39
(require 'ess-sta-l),39
(require 'ess-sp3-d),39
(require 'ess-sas-l),39
(require 'ess-sas-d),39
(require 'ess-sas-a),39
(require 'ess-omg-l),39
(require 'ess-noweb),39
(require 'ess-mouse),39
(require 'ess-menu),39
(require 'ecb-semantic),39
(require 'alert),39
(require 'xcscope),38
(require 'wisent-php-wy),38
(require 'w3m-fb),38
(require 'semantic-imenu),38
(require 'sbt-mode-buffer),38
(require 'logito),38
(require 'jabber-xmessage),38
(require 'jabber-watch),38
(require 'jabber-version),38
(require 'jabber-vcard),38
(require 'jabber-search),38
(require 'jabber-screen),38
(require 'jabber-sawfish),38
(require 'jabber-roster),38
(require 'jabber-ratpoison),38
(require 'jabber-modeline),38
(require 'jabber-events),38
(require 'jabber-browse),38
(require 'jabber-ahc-presence),38
(require 'jabber-ahc),38
(require 'jabber-activity),38
(require 'highlight-symbol),38
(require 'ghc-rewrite),38
(require 'ghc-ins-mod),38
(require 'ghc-doc),38
(require 'ghc-command),38
(require 'gh-oauth),38
(require 'gh-cache),38
(require 'evil-surround),38
(require 'ensime-undo),38
(require 'ensime-search),38
(require 'elm-util),38
(require 'dired+),38
(require 'chess-pos),38
(require 'broken),38
(require 'wisent-ruby-wy),37
(require 'tuareg),37
(require 'request-deferred),37
(require 'org-lparse),37
(require 'md5),37
(require 'json-snatcher),37
(require 'highlight-indentation),37
(require 'helm-gtags),37
(require 'geiser-company),37
(require 'xml-rpc),36
(require 'solarized-definitions),36
(require 'shm-node),36
(require 'shm-macros),36
(require 'shm),36
(require 'semantic-sort),36
(require 'scomint),36
(require 'sb-hash),36
(require 'psgml),36
(require 'proof-config),36
(require 'prelude-perl),36
(require 'pg-assoc),36
(require 'ohai-lib),36
(require 'nnweb),36
(require 'navi2ch),36
(require 'muse-mode),36
(require 'mocker),36
(require 'jdee-db),36
(require 'jdee-compile),36
(require 'geiser-repl),36
(require 'geiser-debug),36
(require 'erl-service),36
(require 'elpy-refactor),36
(require 'elmo-util),36
(require 'elm-font-lock),36
(require 'edts-plugin),36
(require 'cit-texi),36
(require 'cit-srec),36
(require 'cit-el),36
(require 'cit-cpp),36
(require 'cider-grimoire),36
(require 'chess-display),36
(require 'cedet-integ-test),36
(require 'workgroups-variables),35
(require 'workgroups-utils-basic),35
(require 'websocket),35
(require 'texinfmt),35
(require 'semantic-skeleton-by),35
(require 'semantic-scm-by),35
(require 'semantic-make-by),35
(require 'semantic-lex-spp),35
(require 'semantic-erlang-by),35
(require 'semantic-debug),35
(require 'semantic-c-by),35
(require 'semantic-bovine),35
(require 'sbt-mode-vars),35
(require 'rtags),35
(require 'rcodetools),35
(require 'proof-site),35
(require 'prelude-css),35
(require 'php-parse),35
(require 'nxhtmltest-helpers),35
(require 'javadoc-help),35
(require 'files-x),35
(require 'feature-mode),35
(require 'ess-roxy),35
(require 'ess-julia),35
(require 'ess-help),35
(require 'ensime-doc),35
(require 'ein-notification),35
(require 'ein-node),35
(require 'ein-kill-ring),35
(require 'ein-completer),35
(require 'cedet-graphviz),35
(require 'case-table),35
(require 'bovine-grammar-macros),35
(require 'bovine-debug),35
(require 'benchmark),35
(require 'ycmd),34
(require 'semanticdb-file),34
(require 'semantic-grammar-wy),34
(require 'semantic-decorate),34
(require 'rspec-mode),34
(require 'rcirc),34
(require 'pg-response),34
(require 'pg-goals),34
(require 'pdf-isearch),34
(require 'mu4e-headers),34
(require 'lean-tags),34
(require 'lean-info),34
(require 'lean-changes),34
(require 'inferior-idris),34
(require 'image-mode nil t),34
(require 'go-mode-load),34
(require 'ensime-client),34
(require 'ensime-auto-complete),34
(require 'edts-navigate),34
(require 'ede-proj-elisp),34
(require 'direx),34
(require 'cogre-mode),34
(require 'cit-uml),34
(require 'cit-dist),34
(require 'chess-ply),34
(require 'chess-fen),34
(require 'cache-table),34
(require 'bee-autoload),34
(require 'auto-complete-clang),34
(require 'ac-js2),34
(require 'wisent-python-wy),33
(require 'wisent-javascript-jv-wy),33
(require 'wisent-java-wy),33
(require 'wisent-java-tags-wy),33
(require 'wisent-grammar-macros),33
(require 'wisent-dot-wy),33
(require 'wisent-calc-wy),33
(require 'window-number),33
(require 'smtpmail)      ;; the queing stuff (silence elint),33
(require 'smart-mode-line),33
(require 'rfc2368),33
(require 'picture-hack),33
(require 'pcustom),33
(require 'org-trello-data),33
(require 'mu4e-meta)     ;; autogenerated file with metadata (version etc.),33
(require 'mu4e-lists),33
(require 'mu4e-draft),33
(require 'malabar-util),33
(require 'ido-completing-read+),33
(require 'icicles-var)                  ; (This is required anyway by `icicles-fn.el'.),33
(require 'html2text),33
(require 'flycheck-ert),33
(require 'ede-source),33
(require 'ede-proj-prog),33
(require 'cogre-uml),33
(require 'cogre-load),33
(require 'auto-complete-config nil t),33
(require 'anything-config),33
(require 'udev),32
(require 'semantic-tag-file),32
(require 'semantic-symref-global),32
(require 'semantic-analyze-complete),32
(require 'semantic-adebug),32
(require 'pym),32
(require 'proof-unicode-tokens),32
(require 'org-bullets),32
(require 'octave-mod),32
(require 'lui),32
(require 'jedi),32
(require 'init-elpa),32
(require 'idris-keys),32
(require 'groovy-mode),32
(require 'go-mode-autoloads),32
(require 'glof),32
(require 'ghc-flymake),32
(require 'ensime-semantic-highlight),32
(require 'elfeed-search),32
(require 'elfeed),32
(require 'ein-utils),32
(require 'ecb-semantic-wrapper),32
(require 'coq-indent),32
(require 'coq-db),32
(require 'color-theme-solarized),32
(require 'tree-mode),31
(require 'srecode-template-wy),31
(require 'srecode-template),31
(require 'srecode-map),31
(require 'srecode-extract),31
(require 'srecode-document-vars),31
(require 'semantic-texi),31
(require 'semantic-ectag-lang),31
(require 'semantic-dep),31
(require 'scala-mode2-paragraph),31
(require 'scala-mode2-map),31
(require 'scala-mode2-fontlock),31
(require 'scala-mode2),31
(require 'prelude-erc),31
(require 'outline) (require 'noutline),31
(require 'names),31
(require 'jdee),31
(require 'google-c-style),31
(require 'ghc-indent),31
(require 'gallina-db),31
(require 'ess-developer),31
(require 'ein-loaddefs),31
(require 'ede-gnustep),31
(require 'ede-files),31
(require 'cit-gnustep),31
(require 'cit-externaldb),31
(require 'chess-common),31
(require 'textmate),30
(require 'semantic/ia),30
(require 'semantic-symref-filter),30
(require 'php-structure),30
(require 'moz),30
(require 'moe-theme),30
(require 'kde-emacs-vars),30
(require 'jn-window),30
(require 'jn-utils),30
(require 'jn-tree-view),30
(require 'jn-file-tree),30
(require 'jde-gen),30
(require 'jde-compile),30
"(require 'javascript-mode ""javascript"" t)",30
(require 'jabber-keepalive),30
(require 'helm-adaptative),30
(require 'gdb-mi),30
(require 'face-remap),30
(require 'ensime-ui),30
(require 'elmo-vars),30
(require 'ein-query),30
(require 'edmacro),30
(require 'dbg-config),30
(require 'checkdoc),30
(require 'weechat),29
(require 'w32-common-fns),29
(require 'smartrep),29
(require 'puny),29
(require 'proof-shell),29
(require 'mozart),29
(require 'makefile-edit),29
(require 'linum-relative),29
(require 'ledger-report),29
(require 'later-do),29
(require 'json-mode),29
(require 'js-comint),29
(require 'jde-widgets),29
(require 'init-lib),29
(require 'init-evil),29
(require 'html-site),29
(require 'helm-eshell),29
(require 'guix-hydra),29
(require 'god-mode),29
(require 'git-emacs),29
(require 'geiser-compile),29
(require 'gallina-syntax),29
(require 'gallina),29
(require 'ffi),29
(require 'ensime-mode),29
(require 'ensime-editor),29
(require 'elunit),29
(require 'ein-dev),29
(require 'ede-base),29
(require 'ecb-autoloads),29
(require 'dtrt-indent),29
(require 'delsel),29
(require 'cogre-utest),29
(require 'cogre-convert),29
(require 'cedet-java),29
(require 'bookmark+ nil t) ;; (no error if not found),29
(require 'wl-vars),28
(require 'rhtml-erb),28
(require 'nxhtml-mumamo),28
(require 'macro-aux),28
(require 'js2-refactor),28
(require 'js nil t),28
(require 'jade-mode),28
(require 'evil-jumps),28
(require 'erc-log),28
(require 'elib-node),28
(require 'ein-contents-api),28
(require 'egg-custom),28
(require 'edts-debug),28
(require 'e99utils),28
(require 'diff-hl-dired),28
(require 'company-tests),28
(require 'cogre/uml),28
(require 'clj-refactor),28
(require 'bee-config),28
(require 'xcb),27
(require 'winsav),27
(require 'viper),27
(require 'tabify),27
(require 'supercite),27
(require 'semantic-symref-cscope),27
(require 'scala-mode2-sbt),27
(require 'org-trello-utils),27
(require 'nxhtml),27
(require 'mime),27
(require 'maxframe),27
(require 'lua-mode),27
(require 'lookup),27
(require 'js2r-helpers),27
(require 'jdee-run),27
(require 'jdee-gen),27
(require 'haskell-simple-indent),27
(require 'eword-encode),27
(require 'eval-sexp-fu),27
(require 'ess-tracebug),27
(require 'ensime-builder),27
(require 'emms-setup),27
(require 'emmet-mode),27
(require 'emacsw32 nil t),27
(require 'clojure-mode-extra-font-locking),27
(require 'chess),27
(require 'ansi),27
(require 'anaconda-mode),27
"(require 'advice-preload ""advice.el"")",27
(require 'web),26
(require 'tc),26
(require 'sshell),26
(require 'scala-mode-auto),26
(require 'sbt-mode),26
(require 'roguel-ike/entity),26
(require 'prelude-python),26
(require 'polymode),26
(require 'org-timer),26
(require 'obarray),26
(require 'lean-project),26
(require 'guix-geiser),26
(require 'guix-external),26
(require 'gnuplot),26
(require 'git-gutter),26
(require 'geiser-guile),26
(require 'fuel-table),26
(require 'fuel-scaffold),26
(require 'fuel-refactor),26
(require 'fuel-listener),26
(require 'emms-url),26
(require 'dummy-package),26
(require 'dired-details),26
(require 'diminish nil t),26
(require 'dbg-autoload),26
"(require 'cask-bootstrap (expand-file-name ""cask-bootstrap"" cask-directory))",26
(require 'alect-themes),26
(require 'window-numbering),25
(require 'windata),25
(require 'wdired),25
(require 'w3-keyword),25
(require 'sublimity),25
(require 'string-utils),25
(require 'semantic-load),25
(require 'sb-yomiuri),25
(require 'sb-glimpse),25
(require 'sb-asahi),25
(require 'rails-lib),25
(require 'ohai-personal-taste),25
(require 'mumamo-fun),25
(require 'ledger-xact),25
(require 'ledger-texi),25
(require 'ledger-test),25
(require 'ledger-sort),25
(require 'ledger-schedule),25
(require 'ledger-reconcile),25
(require 'ledger-post),25
(require 'ledger-occur),25
(require 'ledger-fonts),25
(require 'ledger-fontify),25
(require 'ledger-exec),25
(require 'ledger-complete),25
(require 'ledger-commodities),25
(require 'irony-snippet),25
(require 'highlight-parentheses),25
(require 'epa-file),25
(require 'emms-cache),25
(require 'emacs-wiki),25
(require 'ein-testing-notebook),25
(require 'ein-testing-cell),25
(require 'cmake-mode),25
(require 'cedet-uutil),25
(require 'w3m-load),24
(require 'w3m-fsf),24
(require 'w3-mouse),24
(require 'vm-autoloads),24
(require 'urweb-util),24
(require 'tramp-cache),24
(require 'shm-slot),24
(require 'shm-simple-indent),24
(require 'shm-insert-del),24
(require 'shm-indent),24
(require 'shm-customizations),24
(require 'rdebug-watch),24
(require 'rdebug-varbuf),24
(require 'rdebug-shortkey),24
(require 'rdebug-output),24
(require 'rdebug-info),24
(require 'rdebug-help),24
(require 'rdebug-frames),24
(require 'rdebug-annotate),24
(require 'psgml-parse),24
(require 'paradox-core),24
(require 'net-fsm),24
(require 'navi2ch-util),24
(require 'locate),24
(require 'kde-emacs-general),24
(require 'idris-warnings-tree),24
(require 'ess-site nil 'noerror),24
(require 'eproject-extras),24
(require 'emacsql),24
(require 'elpy),24
(require 'el-get),24
(require 'dvc-ui),24
(require 'dvc-register),24
(require 'css),24
(require 'company-web),24
(require 'cc-vars),24
(require 'bug-custom),24
(require 'ace-window),24
(require 'ac-html-core),24
(require 'typesetter nil t),23
(require 'tracking),23
(require 'slime-presentations),23
(require 'rvm),23
(require 'rngalt),23
(require 'rhtml-mode),23
(require 'rainbow-mode),23
(require 'popcmp),23
(require 'org-trello-entity),23
(require 'org-trello-buffer),23
(require 'org-pomodoro),23
(require 'org-mac-message),23
(require 'jedi-core),23
(require 'jdee-open-source),23
(require 'helm-descbinds),23
(require 'gtags),23
(require 'exwm-core),23
(require 'ess-r-completion),23
(require 'erc-autoaway),23
(require 'clean-aindent-mode),23
(require 'cit-projvar),23
(require 'cit-arduino),23
(require 'cit-android),23
(require 'auto-highlight-symbol),23
(require 'vlf),22
(require 'udev-cedet),22
(require 'smartparens-ruby),22
(require 'setup-helm),22
(require 'semantic/wisent/comp),22
(require 'sass-mode),22
(require 'prelude-ruby),22
(require 'pces),22
(require 'nxml-mode nil t),22
(require 'muse-xml-common),22
(require 'malabar-variables),22
(require 'kv),22
(require 'icicles-var),22
(require 'icicles-mcmd),22
(require 'icicles-fn)                   ; (This is required anyway by `icicles-mcmd.el'.),22
(require 'htmlfontify),22
(require 'git),22
(require 'evil-visualstar),22
(require 'edts-face),22
(require 'dropdown-list),22
(require 'dockerfile-mode),22
(require 'dbg),22
(require 'cmacexp),22
(require 'chess-algebraic),22
(require 'bug-reference),22
(require 'bug-config),22
(require 'auto-complete nil t),22
(require 'wgrep),21
(require 'w3-forms),21
(require 'vline nil t),21
(require 'vc-svn),21
(require 'tutorial),21
(require 'texmathp),21
(require 'rng-xsd),21
(require 'pdf-tools),21
(require 'mk-utils),21
(require 'mime-view),21
(require 'iso-transl),21
(require 'init-smartparens),21
(require 'init-python),21
(require 'idris-ipkg-mode),21
(require 'guix-build-log),21
(require 'gnutls),21
(require 'git-gutter-fringe),21
(require 'font),21
(require 'evil-mc-common),21
(require 'eval-after-load),21
(require 'egg-git),21
(require 'egg-const),21
(require 'egg-base),21
(require 'edts-rest),21
(require 'edts-event),21
(require 'edts-code),21
(require 'calfw),21
(require 'zencoding-mode),20
(require 'xml-query),20
(require 'ude-icon),20
(require 'trampver),20
(require 'thunk),20
(require 'string-ext),20
(require 'semanticdb-search),20
(require 'semantic-f90-by),20
(require 'ruby-dev-core),20
(require 'quack),20
(require 'py-autopep8),20
(require 'php-funcs),20
(require 'pcmpl-ssh),20
(require 'paradox-github),20
(require 'op-vars),20
(require 'op-util),20
(require 'notifications nil t),20
(require 'navi2ch-multibbs),20
(require 'misc),20
(require 'mel),20
(require 'magit-blame),20
(require 'lean-export-util),20
(require 'kde-emacs-core),20
(require 'jde-parse-class),20
(require 'jde-complete),20
(require 'jde-class),20
(require 'haskell-show),20
(require 'guix-hydra-build),20
(require 'guide-key),20
(require 'go-projectile),20
(require 'gntp nil t),20
(require 'gitlab-utils),20
(require 'fpkg),20
(require 'flx),20
(require 'find-lisp),20
(require 'find-dired),20
(require 'fg42/extension),20
(require 'erc-spelling),20
(require 'erc-notify),20
(require 'ensime-popup),20
(require 'ensime-notes),20
(require 'ensime-inspector),20
(require 'emms-mode-line),20
(require 'elmo-msgdb),20
(require 'elm-indent),20
(require 'ein-pytools),20
(require 'ein-output-area),20
(require 'ein-ac),20
(require 'editorconfig),20
(require 'dvc-utils),20
(require 'dvc-revlist),20
(require 'dvc-diff),20
(require 'color-moccur),20
(require 'chess-network),20
(require 'chess-module),20
(require 'chess-engine),20
(require 'bug-autoload),20
(require 'bbdb-print),20
(require 'async-bytecomp),20
(require 'aquamacs-tools),20
(require 'twittering-mode),19
(require 'stack-m),19
(require 'smartparens-latex),19
(require 'shorten),19
(require 'sbt-mode-rgrep),19
(require 'sbt-mode-comint),19
(require 'register),19
(require 'open-next-line),19
(require 'noweb-mode),19
(require 'nodejs-repl),19
(require 'makey),19
(require 'lv),19
(require 'lean-input),19
(require 'jde-wiz),19
(require 'jabber),19
(require 'init-loader),19
(require 'init-elisp),19
(require 'gh),19
(require 'fsharp-mode-completion),19
(require 'emacs),19
(require 'coq),19
(require 'column-marker),19
(require 'auto-overlays),19
(require 'x-package),18
(require 'wl),18
(require 'which-key),18
(require 'web-autoload nil t),18
(require 'vlf-setup),18
(require 'srecode-document),18
(require 'smart-complete),18
(require 'shut-up),18
(require 'session),18
(require 'semantic/ectags/parse),18
(require 'scratch),18
(require 'sb-atom),18
(require 'regress),18
(require 'reftex-base),18
(require 'proof-useropts),18
(require 'prelude-yaml),18
(require 'pdf-links),18
(require 'org-trello-query),18
(require 'org-trello-cbx),18
(require 'org-trello-api),18
(require 'org-trello-action),18
(require 'nrepl),18
(require 'nose),18
(require 'monads),18
(require 'minibuffer),18
(require 'mhc-vars),18
(require 'mailcrypt),18
(require 'macrostep),18
(require 'lui-format),18
(require 'log4e nil t),18
(require 'linum-off),18
(require 'lfe-mode),18
(require 'lego-syntax),18
(require 'kde-emacs-utils),18
(require 'jdee-widgets),18
(require 'jdee-which-method),18
(require 'jdee-project-file),18
(require 'jdee-import),18
(require 'jdee-help),18
(require 'jdee-dbo),18
(require 'jdee-complete),18
(require 'jdee-class),18
(require 'jdee-bsh),18
(require 'jde-dbo),18
(require 'jde-autoload),18
(require 'jabber-si-common),18
(require 'jabber-avatar),18
(require 'iss-mode),18
(require 'isar-syntax),18
(require 'init-web-mode),18
(require 'idris-repl),18
(require 'idris-prover),18
(require 'httpd),18
(require 'howm),18
(require 'holes),18
(require 'guix-emacs),18
(require 'geiser-xref),18
(require 'geiser-load nil t),18
(require 'geiser-install nil t),18
(require 'fringe-helper),18
(require 'evil-numbers),18
(require 'eri),18
(require 'emms-source-playlist),18
(require 'eim-table),18
(require 'edts-project),18
(require 'ede-srecode),18
(require 'ede-arduino),18
(require 'ede-android),18
(require 'coq-compile-common),18
(require 'company-etags),18
(require 'chinese-pyim-pymap),18
(require 'chess-pgn),18
(require 'cgi),18
(require 'buffer-move),18
(require 'bs),18
(require 'ag),18
(require 'ws-butler),17
(require 'twelf-font),17
(require 'sx-cache),17
(require 'slime-enclosing-context),17
(require 'semanticdb-mode),17
(require 'scala-mode2-imenu),17
(require 'rng-valid nil t),17
(require 'rng-nxml nil t),17
(require 'quickrun),17
(require 'proof-splash),17
(require 'proof-script),17
(require 'popcmp nil t),17
(require 'phox-tags),17
(require 'phox-pbrpm),17
(require 'phox-outline),17
(require 'phox-lang),17
(require 'phox-fun),17
(require 'phox-font),17
(require 'phox-extraction),17
(require 'pg-xml),17
(require 'pg-pbrpm),17
(require 'pg-dev),17
(require 'packed),17
(require 'ov),17
(require 'org-protocol),17
(require 'nyan-mode),17
(require 'nnir),17
(require 'mailabbrev),17
(require 'lean-type),17
(require 'lean-syntax),17
(require 'lean-require),17
(require 'lean-mode),17
(require 'lean-flycheck),17
(require 'lean-company),17
(require 'init-smex),17
(require 'imap),17
(require 'idris-syntax),17
(require 'idris-compat),17
(require 'idn),17
(require 'hindent),17
(require 'helm-ag),17
(require 'google-translate-core-ui),17
(require 'functional),17
(require 'files),17
(require 'epoxide),17
(require 'ensime-stacktrace),17
(require 'ensime-scalex),17
(require 'ensime-goto-testfile),17
(require 'el-get-apt-get),17
(require 'distel),17
(require 'dirtree),17
(require 'completion-ui),17
(require 'cogre/convert),17
(require 'ac-slime),17
(require 'a),17
(require 'xcb-icccm),16
(require 'wl-summary),16
(require 'whelp),16
(require 'w3-widget),16
(require 'w3-menu),16
(require 'w3-imap),16
(require 'w3-cus),16
(require 'vm-mime),16
(require 'visual-regexp),16
(require 'vc-annotate),16
(require 'urweb-defs),16
(require 'tla-core),16
(require 'sx-question),16
(require 'sx-method),16
(require 'spaceline-config),16
(require 'solarized-dark-theme),16
(require 'smartrep nil t),16
(require 'smartparens-test-env),16
(require 'smart-operator),16
(require 'scss-mode),16
(require 'ruby-dev-error),16
(require 'ratpoison-cmd),16
(require 'prelude-packages),16
(require 'plastic-syntax),16
(require 'perspective),16
(require 'operate-on-number),16
(require 'nginx-mode),16
(require 'muse-colors),16
(require 'mhc-schedule),16
(require 'mhc-date),16
(require 'mercurial),16
(require 'malabar-reflection),16
(require 'log4e),16
(require 'list-utils),16
(require 'lambda-core),16
(require 'js2r-wrapping),16
(require 'js2r-vars),16
(require 'js2r-paredit),16
(require 'js2r-iife),16
(require 'js2r-functions),16
(require 'js2r-formatting),16
(require 'js2r-conveniences),16
(require 'js2r-conditionals),16
(require 'jit-lock),16
(require 'jdee-parse-class),16
(require 'irony-completion),16
(require 'init-packages),16
(require 'inf-haskell nil 'noerror),16
(require 'idris-log),16
(require 'idris-highlight-input),16
(require 'haskell-decl-scan nil 'noerror),16
(require 'guix-license),16
(require 'guix-history),16
(require 'govc),16
(require 'gitlab-http),16
(require 'freex),16
(require 'ffi-libc),16
(require 'eval-in-repl),16
(require 'epy-setup),16
(require 'epy-python),16
(require 'ensime-startup),16
(require 'elm-interactive),16
(require 'el-get-http),16
(require 'el-get-github),16
(require 'el-get-git),16
(require 'edts-test),16
(require 'ede/jvm-base),16
(require 'eclim-completion),16
(require 'css-eldoc-hash-table),16
"(require 'commander (expand-file-name ""commander"" default-directory))",16
(require 'cogre/picture-hack),16
(require 'chinese-pyim),16
(require 'better-defaults),16
(require 'xinix-programming),15
(require 'workgroups-functions),15
(require 'woman),15
(require 'wl-util),15
(require 'w3-sysdp),15
(require 'w3-e19),15
(require 'travis-utils),15
(require 'tablist-filter),15
(require 'swiper),15
(require 'solarized-light-theme),15
(require 'semantic/sb),15
(require 'scala-mode),15
(require 'rtest-visible),15
(require 'rst nil t),15
(require 'remember),15
(require 'rails-resources),15
(require 'rails),15
"(require 'pymacs (concat epy-install-dir ""extensions/pymacs.el""))",15
(require 'psvn),15
(require 'prelude-ui),15
(require 'prelude-scss),15
(require 'prelude-mode),15
(require 'prelude-helm),15
(require 'prelude-global-keybindings),15
(require 'prelude-editor),15
(require 'prelude-core),15
(require 'polymode-common),15
(require 'php-project),15
